,lalco,ldep,llife,lcrim,ralco,rdep,rlife,rcrim,secElasped,chosen,order,alcodiff,depdiff,lifediff,crimdiff,LocationLatitude,LocationLongitude,econStatus,hour_of_day,age_18-24 years old,age_25-34 years old,age_35-44 years old,age_45-54 years old,age_55-64 years old,age_65+ years old,gender_Female,gender_Male,gender_Non-binary / third gender,employment_Retired,employment_Student,employment_Unemployed and looking for work,employment_Working full-time,employment_Working part-time,maritalStatus_Living with a partner,maritalStatus_Married,maritalStatus_Never been married,maritalStatus_Widowed,ethnicity_Black/African American,ethnicity_Hispanic/Latino,ethnicity_White/Caucasian,"ethnicity_White/Caucasian,Black/African American",timezone_America/Chicago,timezone_America/Detroit,timezone_America/Los_Angeles,timezone_America/New_York,timezone_Europe/London
6062,4,0,-1,2,0,2,3,0,10,1,20,4,-2,-4,2,52.61810302734375,-1.1804046630859375,25,16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
3244,4,0,-1,2,0,2,3,0,3,1,22,4,-2,-4,2,40.23890686035156,-77.19349670410156,44,17,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1528,4,0,-1,2,0,2,3,0,9,1,46,4,-2,-4,2,44.760299682617195,-85.6179962158203,34,20,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1847,0,2,3,0,4,0,-1,2,6,0,5,-4,2,4,-2,42.11140441894531,-77.94219970703125,35,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
7698,0,2,3,0,4,0,-1,2,3,0,33,-4,2,4,-2,54.77409362792969,-3.439193725585937,60,19,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
8540,0,2,3,0,4,0,-1,2,3,0,56,-4,2,4,-2,44.760299682617195,-85.6179962158203,34,14,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
9000,0,2,3,0,4,0,-1,2,3,0,36,-4,2,4,-2,52.61810302734375,-1.1804046630859375,25,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2484,0,2,3,0,4,0,-1,2,6,0,42,-4,2,4,-2,33.34489440917969,-82.08290100097656,30,20,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
12057,4,0,-1,2,0,2,3,0,3,1,33,4,-2,-4,2,40.23890686035156,-77.19349670410156,44,19,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
12503,4,0,-1,2,0,2,3,0,2,1,59,4,-2,-4,2,25.658905029296875,-80.3553009033203,61,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
11421,0,2,3,0,4,0,-1,2,5,0,57,-4,2,4,-2,52.61810302734375,-1.1804046630859375,25,21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
7693,4,0,-1,2,0,2,3,0,36,1,30,4,-2,-4,2,54.77409362792969,-3.439193725585937,60,19,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
8152,0,2,3,0,4,0,-1,2,4,0,28,-4,2,4,-2,38.25770568847656,-85.70980072021484,65,19,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10880,0,2,3,0,4,0,-1,2,2,0,10,-4,2,4,-2,50.7333984375,-1.9246063232421875,38,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2490,4,0,-1,2,0,2,3,0,3,1,48,4,-2,-4,2,33.34489440917969,-82.08290100097656,30,20,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
6611,0,2,3,0,4,0,-1,2,3,0,29,-4,2,4,-2,42.11140441894531,-77.94219970703125,35,22,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
12495,0,2,3,0,4,0,-1,2,5,0,51,-4,2,4,-2,25.658905029296875,-80.3553009033203,61,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
10262,4,0,-1,2,0,2,3,0,5,1,38,4,-2,-4,2,47.663101196289055,-122.30290222167967,15,17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3212,4,0,-1,2,0,2,3,0,8,1,50,4,-2,-4,2,53.42359924316406,-2.3112945556640625,15,21,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
8153,4,0,-1,2,0,2,3,0,4,1,29,4,-2,-4,2,38.25770568847656,-85.70980072021484,65,19,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
12512,4,0,-1,2,0,2,3,0,5,1,8,4,-2,-4,2,52.43910217285156,-1.50390625,60,20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
4697,0,2,3,0,4,0,-1,2,14,0,17,-4,2,4,-2,54.32470703125,-2.744293212890625,30,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
556,0,2,3,0,4,0,-1,2,13,0,6,-4,2,4,-2,42.11140441894531,-77.94219970703125,35,13,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
10894,0,2,3,0,4,0,-1,2,2,0,20,-4,2,4,-2,50.7333984375,-1.9246063232421875,38,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
12537,4,0,-1,2,0,2,3,0,13,1,33,4,-2,-4,2,52.43910217285156,-1.50390625,60,20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3305,4,0,-1,2,0,2,3,0,4,1,23,4,-2,-4,2,33.34489440917969,-82.08290100097656,30,17,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1119,4,0,-1,2,0,2,3,0,9,1,57,4,-2,-4,2,53.42359924316406,-2.3112945556640625,15,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
10188,4,0,-1,2,0,2,3,0,12,1,24,4,-2,-4,2,33.34489440917969,-82.08290100097656,30,15,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2447,0,2,3,0,4,0,-1,2,6,0,5,-4,2,4,-2,33.34489440917969,-82.08290100097656,30,20,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
10912,4,0,-1,2,0,2,3,0,6,1,58,4,-2,-4,2,54.32470703125,-2.744293212890625,30,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1534,0,2,3,0,4,0,-1,2,3,0,52,-4,2,4,-2,44.760299682617195,-85.6179962158203,34,20,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8521,4,0,-1,2,0,2,3,0,3,1,37,4,-2,-4,2,44.760299682617195,-85.6179962158203,34,14,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
5256,0,2,3,0,4,0,-1,2,4,0,54,-4,2,4,-2,42.11140441894531,-77.94219970703125,35,11,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3210,0,2,3,0,4,0,-1,2,9,0,48,-4,2,4,-2,53.42359924316406,-2.3112945556640625,15,21,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1532,4,0,-1,2,0,2,3,0,3,1,50,4,-2,-4,2,44.760299682617195,-85.6179962158203,34,20,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
5703,0,2,3,0,4,0,-1,2,2,0,21,-4,2,4,-2,53.75520324707031,-1.7593994140625,42,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
9030,0,2,3,0,4,0,-1,2,4,0,6,-4,2,4,-2,47.663101196289055,-122.30290222167967,15,22,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
4674,0,2,3,0,4,0,-1,2,2,0,59,-4,2,4,-2,53.75520324707031,-1.7593994140625,42,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
3276,4,0,-1,2,0,2,3,0,3,1,53,4,-2,-4,2,40.23890686035156,-77.19349670410156,44,17,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
547,0,2,3,0,4,0,-1,2,4,0,47,-4,2,4,-2,39.83560180664063,-84.26719665527342,25,13,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
6031,4,0,-1,2,0,2,3,0,8,1,49,4,-2,-4,2,54.32470703125,-2.744293212890625,30,15,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10211,0,2,3,0,4,0,-1,2,4,0,47,-4,2,4,-2,33.34489440917969,-82.08290100097656,30,15,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
10213,0,2,3,0,4,0,-1,2,4,0,49,-4,2,4,-2,33.34489440917969,-82.08290100097656,30,15,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3266,4,0,-1,2,0,2,3,0,3,1,44,4,-2,-4,2,40.23890686035156,-77.19349670410156,44,17,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
6637,0,2,3,0,4,0,-1,2,4,0,55,-4,2,4,-2,42.11140441894531,-77.94219970703125,35,22,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1856,0,2,3,0,4,0,-1,2,4,0,14,-4,2,4,-2,42.11140441894531,-77.94219970703125,35,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
587,4,0,-1,2,0,2,3,0,8,1,37,4,-2,-4,2,42.11140441894531,-77.94219970703125,35,13,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
6028,0,2,3,0,4,0,-1,2,8,0,46,-4,2,4,-2,54.32470703125,-2.744293212890625,30,15,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
8564,4,0,-1,2,0,2,3,0,3,1,20,4,-2,-4,2,42.965606689453125,-85.65000152587889,8,15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
8946,4,0,-1,2,0,2,3,0,2,1,42,4,-2,-4,2,25.658905029296875,-80.3553009033203,61,23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
6262,0,2,3,0,4,0,-1,2,2,0,40,-4,2,4,-2,54.77409362792969,-3.439193725585937,60,23,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
11413,4,0,-1,2,0,2,3,0,3,1,49,4,-2,-4,2,52.61810302734375,-1.1804046630859375,25,21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
6263,4,0,-1,2,0,2,3,0,3,1,41,4,-2,-4,2,54.77409362792969,-3.439193725585937,60,23,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
5686,0,2,3,0,4,0,-1,2,2,1,4,-4,2,4,-2,53.75520324707031,-1.7593994140625,42,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
6574,4,0,-1,2,0,2,3,0,4,1,52,4,-2,-4,2,52.61810302734375,-1.1804046630859375,25,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
3141,0,2,3,0,4,0,-1,2,2,0,39,-4,2,4,-2,31.99330139160156,-96.4197998046875,30,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
