id,createdAt,sessionid,pairid,secElasped,chosen,order,mindChanged,l_elderlyDep,l_lifeYearsGained,l_obesity,l_weeklyWorkhours,l_yearsWaiting,r_elderlyDep,r_lifeYearsGained,r_obesity,r_weeklyWorkhours,r_yearsWaiting
12,2022-07-28 01:38:05.818000,39f22fe1-f01d-4be8-ba3b-da974c7f5869,hard_2,17,1,0,0,0,20,3,40,3,1,10,0,20,5
12,2022-07-28 01:38:54.756000,39f22fe1-f01d-4be8-ba3b-da974c7f5869,1-10-3-1-30_2-25-3-4-30,50,0,1,0,1,10,1,30,3,2,25,4,30,3
39,2022-07-28 01:54:59.090000,efa9719f-e7d9-423f-a56f-2bfcf8ccdddd,0-20-1-3-0_0-5-1-1-50,10,1,0,0,0,20,3,0,1,0,5,1,50,1
39,2022-07-28 01:55:01.027000,efa9719f-e7d9-423f-a56f-2bfcf8ccdddd,3-5-5-2-0_1-5-1-2-20,2,1,1,0,3,5,2,0,5,1,5,2,20,1
39,2022-07-28 20:16:18.512000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-5-1-3-20_2-25-5-2-50,58,0,0,0,0,5,3,20,1,2,25,2,50,5
39,2022-07-28 20:16:18.521000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-20-5-3-40_0-25-5-4-30,1,1,1,0,3,20,3,40,5,0,25,4,30,5
39,2022-07-28 20:16:20.831000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-10-1-4-10_1-20-3-4-40,3,0,2,0,1,10,4,10,1,1,20,4,40,3
39,2022-07-28 20:16:22.554000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-5-5-3-40_1-25-7-2-10,2,1,3,0,3,5,3,40,5,1,25,2,10,7
39,2022-07-28 20:16:23.855000,71bc09f7-b8da-4513-a63a-c7c8d214b365,att_2,1,0,4,0,1,-1,1,40,7,0,15,2,30,7
39,2022-07-28 20:16:25.309000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-5-1-1-0_0-20-7-4-50,1,1,5,0,1,5,1,0,1,0,20,4,50,7
39,2022-07-28 20:16:26.539000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-25-1-1-50_1-5-7-3-20,1,0,6,0,3,25,1,50,1,1,5,3,20,7
39,2022-07-28 20:16:27.640000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-5-1-3-30_2-20-1-0-40,1,1,7,0,3,5,3,30,1,2,20,0,40,1
39,2022-07-28 20:16:28.938000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-25-7-2-30_3-5-1-2-30,1,0,8,0,3,25,2,30,7,3,5,2,30,1
39,2022-07-28 20:16:29.985000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-5-1-3-20_0-10-3-0-0,1,1,9,0,3,5,3,20,1,0,10,0,0,3
39,2022-07-28 20:16:31.210000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-10-7-1-0_0-10-7-0-0,1,0,10,0,3,10,1,0,7,0,10,0,0,7
39,2022-07-28 20:16:32.491000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-25-5-3-40_1-10-5-2-10,1,1,11,0,0,25,3,40,5,1,10,2,10,5
39,2022-07-28 20:16:33.968000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-25-7-4-10_0-5-5-3-0,1,0,12,0,1,25,4,10,7,0,5,3,0,5
39,2022-07-28 20:16:35.408000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-5-3-1-0_2-10-1-1-20,1,1,13,0,2,5,1,0,3,2,10,1,20,1
39,2022-07-28 20:16:36.499000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-20-5-3-20_1-10-5-3-20,1,0,14,0,2,20,3,20,5,1,10,3,20,5
