"","StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q4","Q5","Q5_4_TEXT","Children","Q7","Q8","Q185","Q185_6_TEXT","Q187","Q189","Q189_5_TEXT","Q190","Q201_1","id"
"1","2022-07-28 14:40:25","2022-07-28 14:43:27","IP Address","100","181","True","2022-07-28 14:43:27","R_eJQH3YvKB01RFxT",NA,NA,NA,NA,"30.7448","-99.2218","anonymous","EN","65+ years old","Female",NA,"0","Retired","Married","White/Caucasian",NA,"Somewhat conservative","Christian/Non-Catholic",NA,"Somewhat religous","31",38
"2","2022-07-28 14:57:22","2022-07-28 14:59:28","IP Address","100","126","True","2022-07-28 14:59:29","R_2dhmm0exJhZ0QJl",NA,NA,NA,NA,"28.0475","-82.6148","anonymous","EN","65+ years old","Male",NA,"0","Retired","Married","White/Caucasian",NA,"Slightly conservative","Christian/Non-Catholic",NA,"Moderately religious","70",32
"3","2022-07-28 16:00:51","2022-07-28 16:01:37","IP Address","100","45","True","2022-07-28 16:01:37","R_214HgllaYT7hP0d",NA,NA,NA,NA,"43.6171","-72.9636","anonymous","EN","25-34 years old","Male",NA,"1","Working part-time","Never been married","White/Caucasian",NA,"Extremely liberal","Atheist",NA,"Not at all religious","19",4
"4","2022-07-29 15:59:40","2022-07-29 16:00:46","IP Address","100","66","True","2022-07-29 16:00:47","R_3RdPJ59oRaurrrk",NA,NA,NA,NA,"37.9935","-121.7015","anonymous","EN","25-34 years old","Female",NA,"3","Working part-time","Married","Hispanic/Latino",NA,"Moderate","Christian/Catholic",NA,"Slightly religious","69",50
"5","2022-07-29 16:01:38","2022-07-29 16:03:00","IP Address","100","81","True","2022-07-29 16:03:00","R_3JeLruzF7SEwdsT",NA,NA,NA,NA,"28.4986","-81.5353","anonymous","EN","25-34 years old","Male",NA,"0","Student","Never been married","Asian",NA,"Slightly conservative","Muslim",NA,"Very religious","25",11
"6","2022-07-29 16:02:05","2022-07-29 16:03:31","IP Address","100","86","True","2022-07-29 16:03:32","R_2CqeRqJhHQ3LFPo",NA,NA,NA,NA,"47.8534","-122.2438","anonymous","EN","45-54 years old","Male",NA,"0","Other","Married","White/Caucasian",NA,"Extremely conservative","Christian/Non-Catholic",NA,"Very religious","73",18
"7","2022-08-06 11:46:25","2022-08-06 11:47:58","IP Address","100","92","True","2022-08-06 11:47:58","R_s5u9YWteAegxnRn",NA,NA,NA,NA,"30.1746","-97.8203","anonymous","EN","35-44 years old","Female",NA,"4","A homemaker or stay-at-home parent","Married","White/Caucasian,Hispanic/Latino",NA,"Extremely liberal","None",NA,"Not at all religious","30",48
"8","2022-08-06 11:47:27","2022-08-06 11:48:55","IP Address","100","88","True","2022-08-06 11:48:56","R_3NIfXQNkLOb59TN",NA,NA,NA,NA,"38.5848","-90.2996","anonymous","EN","45-54 years old","Female",NA,"1","Working part-time","Never been married","White/Caucasian",NA,"Somewhat liberal","None",NA,"Not at all religious","20",21
"9","2022-08-06 11:50:04","2022-08-06 11:50:49","IP Address","100","45","True","2022-08-06 11:50:49","R_ehXHQVHKUaSFjCF",NA,NA,NA,NA,"34.0782","-84.6485","anonymous","EN","25-34 years old","Female",NA,"0","Working full-time","Never been married","White/Caucasian",NA,"Somewhat conservative","Christian/Catholic",NA,"Somewhat religous","60",7
"10","2022-08-06 11:48:09","2022-08-06 11:53:10","IP Address","100","301","True","2022-08-06 11:53:10","R_pfqXLCB00xTnSJH",NA,NA,NA,NA,"34.0121","-117.6883","anonymous","EN","25-34 years old","Male",NA,"0","Working part-time","Never been married","White/Caucasian",NA,"Slightly liberal","Christian/Catholic",NA,"Somewhat religous","20",2
"11","2022-08-06 11:52:50","2022-08-06 11:53:33","IP Address","100","43","True","2022-08-06 11:53:34","R_BPLn1FP1AwEMJON",NA,NA,NA,NA,"41.8333","-71.4314","anonymous","EN","55-64 years old","Female",NA,"0","Working full-time","Married","White/Caucasian",NA,"Slightly liberal","Atheist",NA,"Not at all religious","76",35
"12","2022-08-06 11:53:15","2022-08-06 11:53:51","IP Address","100","35","True","2022-08-06 11:53:51","R_3PhJCt4UkYTZB1M",NA,NA,NA,NA,"34.0085","-117.8136","anonymous","EN","18-24 years old","Female",NA,"0","Student","Never been married","Asian",NA,"Extremely liberal","None",NA,"Not at all religious","40",72
"13","2022-08-06 11:54:07","2022-08-06 11:55:19","IP Address","100","71","True","2022-08-06 11:55:19","R_3snnMi2HsIv9fLv",NA,NA,NA,NA,"33.7153","-84.3312","anonymous","EN","35-44 years old","Female",NA,"0","Working part-time","Living with a partner","White/Caucasian",NA,"Extremely liberal","Atheist",NA,"Not at all religious","50",16
"14","2022-08-06 11:54:28","2022-08-06 11:55:38","IP Address","100","69","True","2022-08-06 11:55:38","R_1mXzyMJPYQWtaOe",NA,NA,NA,NA,"41.5977","-73.8895","anonymous","EN","55-64 years old","Female",NA,"0","Unemployed and looking for work","Married","Asian",NA,"Somewhat liberal","None",NA,"Not at all religious","65",43
"15","2022-08-06 11:55:48","2022-08-06 11:57:03","IP Address","100","74","True","2022-08-06 11:57:03","R_3qmq3rhZKomWDId",NA,NA,NA,NA,"42.9685","-78.7492","anonymous","EN","25-34 years old","Female",NA,"0","Working full-time","Living with a partner","White/Caucasian",NA,"Extremely liberal","Atheist",NA,"Not at all religious","51",62
"16","2022-08-06 11:56:57","2022-08-06 11:57:38","IP Address","100","41","True","2022-08-06 11:57:39","R_2EBnAjuaivG0PVv",NA,NA,NA,NA,"40.2669","-74.6511","anonymous","EN","35-44 years old","Male",NA,"0","Working full-time","Married","White/Caucasian",NA,"Somewhat liberal","Atheist",NA,"Not at all religious","80",66
"17","2022-08-06 11:57:51","2022-08-06 11:58:38","IP Address","100","46","True","2022-08-06 11:58:38","R_tQcMdweayER2Sop",NA,NA,NA,NA,"38.5317","-89.9988","anonymous","EN","18-24 years old","Female",NA,"1","Student","Never been married","White/Caucasian",NA,"Extremely liberal","Christian/Catholic",NA,"A little religious","40",19
"18","2022-08-06 11:57:10","2022-08-06 11:59:42","IP Address","100","152","True","2022-08-06 11:59:43","R_1qeKbYpvAShFyKV",NA,NA,NA,NA,"29.4102","-100.8932","anonymous","EN","18-24 years old","Male",NA,"0","Unemployed and looking for work","Never been married","Hispanic/Latino",NA,"Moderate","None",NA,"Not at all religious","40",1
"19","2022-08-06 11:58:41","2022-08-06 12:00:16","IP Address","100","95","True","2022-08-06 12:00:17","R_dhz8aFSQ1KJPGlb",NA,NA,NA,NA,"38.9336","-92.363","anonymous","EN","25-34 years old","Female",NA,"0","Other","Never been married","White/Caucasian",NA,"Moderate","Atheist",NA,"Not at all religious","36",46
"20","2022-08-06 12:01:00","2022-08-06 12:01:39","IP Address","100","38","True","2022-08-06 12:01:39","R_302W8zxFKZ844Wl",NA,NA,NA,NA,"40.7099","-73.9591","anonymous","EN","35-44 years old","Male",NA,"0","Working full-time","Living with a partner","Asian",NA,"Slightly liberal","Christian/Catholic",NA,"Slightly religious","70",3
"21","2022-08-06 12:14:25","2022-08-06 12:15:32","IP Address","100","66","True","2022-08-06 12:15:32","R_1kH4LFIPxyhHY5E",NA,NA,NA,NA,"38.9814","-77.4723","anonymous","EN","35-44 years old","Male",NA,"0","Working full-time","Married","White/Caucasian,Asian",NA,"Slightly conservative","Buddist",NA,"A little religious","85",24
"22","2022-08-06 12:10:29","2022-08-06 12:16:00","IP Address","100","330","True","2022-08-06 12:16:00","R_2P58m4AjBD3rv37",NA,NA,NA,NA,"30.6253","-87.896","anonymous","EN","55-64 years old","Male",NA,"0","Other","Never been married","White/Caucasian,Native American",NA,"Somewhat liberal","Christian/Non-Catholic",NA,"Somewhat religous","9",23
"23","2022-08-06 12:15:29","2022-08-06 12:16:11","IP Address","100","42","True","2022-08-06 12:16:11","R_2aQgms76T7231jg",NA,NA,NA,NA,"28.3939","-81.4216","anonymous","EN","18-24 years old","Male",NA,"0","Unemployed and looking for work","Never been married","White/Caucasian",NA,"Moderate","Atheist",NA,"Not at all religious","35",57
"24","2022-08-06 12:15:44","2022-08-06 12:17:03","IP Address","100","78","True","2022-08-06 12:17:03","R_RDZjUL6s2rArZ4d",NA,NA,NA,NA,"26.1883","-81.7071","anonymous","EN","25-34 years old","Male",NA,"0","Working full-time","Never been married","White/Caucasian",NA,"Moderate","None",NA,"Not at all religious","70",14
"25","2022-08-06 12:17:55","2022-08-06 12:18:55","IP Address","100","60","True","2022-08-06 12:18:55","R_2t9TNCRjN6zf0x1",NA,NA,NA,NA,"41.5436","-87.6826","anonymous","EN","18-24 years old","Non-binary / third gender",NA,"0","Student","Never been married","Black/African American",NA,"Extremely liberal","Atheist",NA,"Not at all religious","60",10
"26","2022-08-06 12:19:20","2022-08-06 12:20:31","IP Address","100","70","True","2022-08-06 12:20:31","R_2YRn0jVtlPXHejc",NA,NA,NA,NA,"34.2526","-118.2882","anonymous","EN","18-24 years old","Male",NA,"0","Unemployed and looking for work","Never been married","Hispanic/Latino",NA,"Somewhat conservative","Christian/Catholic",NA,"Somewhat religous","41",6
"27","2022-08-15 11:50:19","2022-08-15 11:51:30","IP Address","100","71","True","2022-08-15 11:51:31","R_25B298wbe4pMY4e",NA,NA,NA,NA,"29.7767","-98.4626","anonymous","EN","25-34 years old","Female",NA,"3","Working part-time","Married","White/Caucasian",NA,"Somewhat liberal","Christian/Non-Catholic",NA,"Very religious","60",27
"28","2022-08-15 11:50:49","2022-08-15 11:52:20","IP Address","100","90","True","2022-08-15 11:52:20","R_1Lb4peTTN2Ye1t7",NA,NA,NA,NA,"41.935","-87.8737","anonymous","EN","18-24 years old","Female",NA,"0","Unemployed and looking for work","Never been married","White/Caucasian",NA,"Extremely liberal","None",NA,"Not at all religious","2",26
"29","2022-08-15 11:48:51","2022-08-15 11:52:29","IP Address","100","217","True","2022-08-15 11:52:29","R_2y9Nz1bt86rWoHA",NA,NA,NA,NA,"35.0324","-89.8145","anonymous","EN","45-54 years old","Female",NA,"0","Working full-time","Never been married","Other","Multi-racial","Slightly conservative","Other","Believer/Non-denominational","Slightly religious","50",34
"30","2022-08-15 11:50:59","2022-08-15 11:52:42","IP Address","100","103","True","2022-08-15 11:52:43","R_3ktSFsyeVw7nM3k",NA,NA,NA,NA,"38.6645","-121.487","anonymous","EN","18-24 years old","Female",NA,"0","Unemployed and looking for work","Never been married","White/Caucasian,Black/African American",NA,"Extremely liberal","Christian/Non-Catholic",NA,"Slightly religious","20",15
"31","2022-08-15 12:00:50","2022-08-15 12:01:34","IP Address","100","44","True","2022-08-15 12:01:34","R_294j8ztta0ehB51",NA,NA,NA,NA,"37.2532","-80.4347","anonymous","EN","25-34 years old","Female",NA,"0","Working part-time","Never been married","White/Caucasian",NA,"Extremely liberal","Atheist",NA,"Not at all religious","50",36
"32","2022-08-15 12:02:16","2022-08-15 12:03:03","IP Address","100","46","True","2022-08-15 12:03:04","R_w19qbCVKDtfTE6l",NA,NA,NA,NA,"42.474","-75.3294","anonymous","EN","35-44 years old","Male",NA,"1","Working full-time","Married","White/Caucasian",NA,"Somewhat liberal","Christian/Catholic",NA,"A little religious","60",65
"33","2022-08-15 12:04:22","2022-08-15 12:05:25","IP Address","100","62","True","2022-08-15 12:05:25","R_21uYyoHS1LAcrAW",NA,NA,NA,NA,"38.9301","-78.1887","anonymous","EN","25-34 years old","Male",NA,"3","Working full-time","Married","Hispanic/Latino",NA,"Slightly conservative","Christian/Catholic",NA,"Very religious","50",51
"34","2022-08-15 12:03:35","2022-08-15 12:06:13","IP Address","100","158","True","2022-08-15 12:06:14","R_3Dnmxo68FQjZE5Y",NA,NA,NA,NA,"39.0235","-84.2083","anonymous","EN","55-64 years old","Female",NA,"0","A homemaker or stay-at-home parent","Married","White/Caucasian",NA,"Slightly liberal","Christian/Non-Catholic",NA,"A little religious","10",53
"35","2022-08-15 12:05:47","2022-08-15 12:07:25","IP Address","100","98","True","2022-08-15 12:07:25","R_0Ah1xOEAhLEfvDH",NA,NA,NA,NA,"30.5429","-88.1839","anonymous","EN","25-34 years old","Female",NA,"2","Working full-time","Married","White/Caucasian",NA,"Moderate","None",NA,"Slightly religious","46",55
"36","2022-08-15 12:07:01","2022-08-15 12:08:00","IP Address","100","58","True","2022-08-15 12:08:00","R_su8DBoCWLoapIlz",NA,NA,NA,NA,"37.9186","-121.3132","anonymous","EN","55-64 years old","Male",NA,"1","Working full-time","Married","White/Caucasian",NA,"Moderate","Christian/Catholic",NA,"A little religious","70",56
"37","2022-08-15 12:07:34","2022-08-15 12:08:45","IP Address","100","71","True","2022-08-15 12:08:46","R_Wj1SHAWIRt0J5Op",NA,NA,NA,NA,"29.943","-95.2596","anonymous","EN","25-34 years old","Female",NA,"3","Working full-time","Married","White/Caucasian",NA,"Moderate","Christian/Catholic",NA,"Not at all religious","38",60
"38","2022-08-15 12:05:31","2022-08-15 12:08:47","IP Address","100","196","True","2022-08-15 12:08:47","R_2Uhir74cY5RnfbY",NA,NA,NA,NA,"43.1819","-83.7238","anonymous","EN","55-64 years old","Female",NA,"0","Retired","Divorced/Separated","White/Caucasian",NA,"Somewhat conservative","Christian/Non-Catholic",NA,"Not at all religious","25",73
"39","2022-08-15 12:08:46","2022-08-15 12:09:36","IP Address","100","49","True","2022-08-15 12:09:36","R_2zxe4h2DYquWZKd",NA,NA,NA,NA,"44.9985","-93.3029","anonymous","EN","35-44 years old","Female",NA,"0","Working full-time","Never been married","White/Caucasian",NA,"Somewhat liberal","Atheist",NA,"Not at all religious","40",41
"40","2022-08-15 12:09:07","2022-08-15 12:09:58","IP Address","100","51","True","2022-08-15 12:09:58","R_1ffsHwENniy9HqW",NA,NA,NA,NA,"36.1685","-115.1164","anonymous","EN","35-44 years old","Female",NA,"0","Working full-time","Divorced/Separated","White/Caucasian",NA,"Moderate","Atheist",NA,"Not at all religious","61",61
"41","2022-08-15 12:01:37","2022-08-15 12:11:46","IP Address","100","609","True","2022-08-15 12:11:47","R_1i3CBHuf1Oe0f0Q",NA,NA,NA,NA,"33.61","-112.4593","anonymous","EN","18-24 years old","Female",NA,"0","Student","Never been married","Hispanic/Latino",NA,"Extremely liberal","Christian/Non-Catholic",NA,"A little religious","54",40
"42","2022-08-15 12:11:12","2022-08-15 12:11:47","IP Address","100","35","True","2022-08-15 12:11:47","R_3oIbgkan5zAWiXY",NA,NA,NA,NA,"33.9993","-118.2868","anonymous","EN","25-34 years old","Female",NA,"0","Working full-time","Married","White/Caucasian",NA,"Moderate","None",NA,"Not at all religious","25",47
"43","2022-08-15 12:10:59","2022-08-15 12:12:22","IP Address","100","83","True","2022-08-15 12:12:23","R_3nflusfPh1MtEIq",NA,NA,NA,NA,"39.2812","-76.7406","anonymous","EN","25-34 years old","Male",NA,"0","Working full-time","Living with a partner","White/Caucasian",NA,"Slightly liberal","None",NA,"Not at all religious","50",13
"44","2022-08-15 12:11:51","2022-08-15 12:12:30","IP Address","100","39","True","2022-08-15 12:12:31","R_6hBdO43juzahJJL",NA,NA,NA,NA,"42.1186","-70.9576","anonymous","EN","25-34 years old","Male",NA,"0","Working full-time","Never been married","Asian",NA,"Extremely liberal","Other","agnostic","Slightly religious","55",22
"45","2022-08-15 12:11:04","2022-08-15 12:13:03","IP Address","100","118","True","2022-08-15 12:13:03","R_3MosbDpH74pS2z1",NA,NA,NA,NA,"33.3289","-111.8658","anonymous","EN","65+ years old","Female",NA,"0","Retired","Living with a partner","White/Caucasian",NA,"Moderate","None",NA,"Not at all religious","25",63
"46","2022-08-15 12:13:33","2022-08-15 12:14:17","IP Address","100","43","True","2022-08-15 12:14:17","R_tWFaz7nmPqyiYHn",NA,NA,NA,NA,"41.4558","-81.7815","anonymous","EN","18-24 years old","Male",NA,"0","Working full-time","Living with a partner","White/Caucasian",NA,"Slightly liberal","Atheist",NA,"Not at all religious","32",31
"47","2022-08-15 12:08:37","2022-08-15 12:14:42","IP Address","100","365","True","2022-08-15 12:14:44","R_27Bz0lfiNYZXilK",NA,NA,NA,NA,"33.438","-111.7118","anonymous","EN","65+ years old","Female",NA,"0","Retired","Divorced/Separated","White/Caucasian",NA,"Somewhat conservative","Christian/Non-Catholic",NA,"Very religious","20",37
"48","2022-08-15 12:15:29","2022-08-15 12:17:08","IP Address","100","98","True","2022-08-15 12:17:08","R_eWOj9ucgJ0W72QV",NA,NA,NA,NA,"32.7104","-117.0528","anonymous","EN","35-44 years old","Male",NA,"0","Working part-time","Married","Asian",NA,"Slightly liberal","Christian/Non-Catholic",NA,"Slightly religious","40",71
"49","2022-08-15 12:18:39","2022-08-15 12:19:29","IP Address","100","50","True","2022-08-15 12:19:30","R_12ckr8atouaLyKQ",NA,NA,NA,NA,"39.6343","-77.7337","anonymous","EN","25-34 years old","Male",NA,"0","Working full-time","Never been married","White/Caucasian",NA,"Extremely liberal","Other","Pagan","Somewhat religous","5",8
"50","2022-08-15 12:18:55","2022-08-15 12:19:53","IP Address","100","57","True","2022-08-15 12:19:53","R_1hGqVpFcq5C1ltK",NA,NA,NA,NA,"33.9249","-117.4592","anonymous","EN","18-24 years old","Female",NA,"0","Unemployed and looking for work","Never been married","White/Caucasian,Asian",NA,"Somewhat liberal","Other","Shinto","Slightly religious","22",45
