"","createdAt","sessionid","uid","pairid","lalco","ldep","llife","lcrim","ralco","rdep","rlife","rcrim","secElasped","chosen","order","attfailed"
"1",2022-02-18 01:12:46,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,1,1,0,4,1,1,0,159,0,0,FALSE
"2",2022-02-18 01:12:58,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"easy3",0,1,3,0,4,0,1,2,12,0,1,FALSE
"3",2022-02-18 01:13:11,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,2,3,0,0,2,3,2,13,1,2,FALSE
"4",2022-02-18 01:13:31,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,1,2,2,4,0,3,2,20,0,3,FALSE
"5",2022-02-18 01:14:58,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"hard1",0,0,2,2,2,2,2,0,87,0,4,FALSE
"6",2022-02-18 01:15:06,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,0,1,1,0,0,3,1,8,1,5,FALSE
"7",2022-02-18 01:15:36,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,2,2,1,4,2,1,2,30,0,6,FALSE
"8",2022-02-18 01:15:44,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,1,3,2,0,2,1,1,8,1,7,FALSE
"9",2022-02-18 01:15:54,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"hard3",2,0,2,0,0,1,2,2,288,1,0,FALSE
"10",2022-02-18 01:15:55,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"hard3",0,1,2,2,2,0,2,0,11,0,8,FALSE
"11",2022-02-18 01:16:08,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,0,2,1,2,2,3,1,13,1,9,FALSE
"12",2022-02-18 01:16:21,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"attcheck",4,0,-1,2,0,2,3,0,12,1,10,FALSE
"13",2022-02-18 01:16:37,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,0,2,2,0,0,1,0,16,0,11,FALSE
"14",2022-02-18 01:16:44,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,1,2,1,0,1,3,1,8,1,12,FALSE
"15",2022-02-18 01:16:50,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,2,3,1,0,0,2,2,56,0,1,FALSE
"16",2022-02-18 01:16:52,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"easy1",4,0,1,2,0,0,3,0,7,1,13,FALSE
"17",2022-02-18 01:17:01,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,2,3,2,4,0,2,2,10,0,14,FALSE
"18",2022-02-18 01:17:10,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,2,3,2,2,2,3,1,9,0,15,FALSE
"19",2022-02-18 01:17:13,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,1,1,0,4,2,2,0,23,1,2,FALSE
"20",2022-02-18 01:17:18,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,1,3,1,4,1,1,2,7,0,16,FALSE
"21",2022-02-18 01:17:27,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,1,3,1,0,2,2,0,9,1,17,FALSE
"22",2022-02-18 01:17:34,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,2,2,1,2,2,3,1,22,1,3,FALSE
"23",2022-02-18 01:17:42,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,0,3,1,4,0,3,2,16,1,18,FALSE
"24",2022-02-18 01:17:45,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,0,1,1,2,0,3,1,11,1,4,FALSE
"25",2022-02-18 01:17:51,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,0,1,2,0,1,2,1,9,1,19,FALSE
"26",2022-02-18 01:18:01,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,2,1,2,0,1,2,1,10,1,20,FALSE
"27",2022-02-18 01:18:12,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,0,2,0,0,2,1,2,26,1,5,FALSE
