StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4. Age,Q5,Q6,Q7,Q7_3_TEXT,Q9,Q11,Q13,Q14,Q15,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q25,Q26_1,Q27_1,Q28,Q28_7_TEXT,Q29,Q30_1,Q31,Q32 Marital Status,Q33 Education,Q34 Employment,Q35,opp,qpmid,expected_ir,expected_loi,tg,gc,SVID,transaction_id,Q_TotalDuration,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDDuplicate,Q_BallotBoxStuffing,Q_RecaptchaScore,ID,Day,Q,Wave,sent,Round,V,Random ID,PROLIFIC_PID,term,race quota,age,Min Quota
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I understand what is involved in the study and give my consent to participate.,Are you 18 years of age or older?,Are you willing to partake in week-long study (one session per day)?,What is your current age in years? (enter in box),Which of the following ethnicities do you identify with?  Please check all that apply,Is there anything else you would like to tell us about your ethnic identity?,What is your gender? - Selected Choice,What is your gender? - Other (Please specify in box below) - Text,Q9,Q11,Task completion code:,What strategy or strategies did you use to decide which patient should be given the kidney in each scenario?,"In scenarios where you found it difficult to decide, in particular, how did you ultimately determine who you thought should be given the kidney?",Having a greater number of dependents counts                     a patient - Relative weight,Having a greater number of life years gained from the transplant counts                     a patient - Relative weight,Having a greater number of years on the transplant waiting list counts                     a patient - Relative weight,Being further from normal weight counts                     a patient - Relative weight,Having a greater number of alcoholic drinks per day before diagnosis counts                     a patient - Relative weight,Being able to work a greater number of hours per week after transplant counts                     a patient - Relative weight,Having committed a higher number of past serious crimes counts                     a patient - Relative weight,Having a higher chance of a patient's immune system rejecting the transplanted kidney within one year counts                     a patient - Relative weight,"Please rank the features based on how much influence they had on your decisions about who should get the kidney in each scenario, with rank 1 = the feature that had the most influence, and rank 8 = the feature that had the least influence



To rank the features, drag and drop each time - Number of child dependents","Please rank the features based on how much influence they had on your decisions about who should get the kidney in each scenario, with rank 1 = the feature that had the most influence, and rank 8 = the feature that had the least influence



To rank the features, drag and drop each time - Life years gained due to a successful transplant","Please rank the features based on how much influence they had on your decisions about who should get the kidney in each scenario, with rank 1 = the feature that had the most influence, and rank 8 = the feature that had the least influence



To rank the features, drag and drop each time - Number of years on the transplant waiting list","Please rank the features based on how much influence they had on your decisions about who should get the kidney in each scenario, with rank 1 = the feature that had the most influence, and rank 8 = the feature that had the least influence



To rank the features, drag and drop each time - Obesity level","Please rank the features based on how much influence they had on your decisions about who should get the kidney in each scenario, with rank 1 = the feature that had the most influence, and rank 8 = the feature that had the least influence



To rank the features, drag and drop each time - Number of alcoholic drinks per day before diagnosis","Please rank the features based on how much influence they had on your decisions about who should get the kidney in each scenario, with rank 1 = the feature that had the most influence, and rank 8 = the feature that had the least influence



To rank the features, drag and drop each time - Hours per week patient is expected to be able to work after transplant","Please rank the features based on how much influence they had on your decisions about who should get the kidney in each scenario, with rank 1 = the feature that had the most influence, and rank 8 = the feature that had the least influence



To rank the features, drag and drop each time - Number of past violent crimes","Please rank the features based on how much influence they had on your decisions about who should get the kidney in each scenario, with rank 1 = the feature that had the most influence, and rank 8 = the feature that had the least influence



To rank the features, drag and drop each time - Chances of patient's immune system rejecting transplanted kidney within one year",Is there anything else we should know about your experience participating in this experiment or about how you decided who should get the kidney?,What is your social political orientation? - 1,What is your economic and fiscal political orientation? - 1,What is your self-identified Religion? - Selected Choice,What is your self-identified Religion? - Other - Text,What denomination do you belong to (if applicable)?,How religious are you? - 1,Is there anything else you would like to tell us about your religious identity?,What is your current marital status?,"What is the highest degree or level of school you have completed?  If currently enrolled, please mark the previous grade or highest degree received",Which of the following best describes your employment status?  Choose all that apply,What is your current yearly household income?,opp,qpmid,expected_ir,expected_loi,tg,gc,SVID,transaction_id,Q_TotalDuration,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDDuplicate,Q_BallotBoxStuffing,Q_RecaptchaScore,ID,Day,Q,Wave,sent,Round,V,Random ID,PROLIFIC_PID,term,race quota,age,Min Quota
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID44""}","{""ImportId"":""QID46""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_3_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID28""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID29_7""}","{""ImportId"":""QID29_8""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_7_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""opp""}","{""ImportId"":""qpmid""}","{""ImportId"":""expected_ir""}","{""ImportId"":""expected_loi""}","{""ImportId"":""tg""}","{""ImportId"":""gc""}","{""ImportId"":""SVID""}","{""ImportId"":""transaction_id""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""ID""}","{""ImportId"":""Day""}","{""ImportId"":""Q""}","{""ImportId"":""Wave""}","{""ImportId"":""sent""}","{""ImportId"":""Round""}","{""ImportId"":""V""}","{""ImportId"":""Random ID""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""term""}","{""ImportId"":""race quota""}","{""ImportId"":""age""}","{""ImportId"":""Min Quota""}"
2024-08-10 16:38:54,2024-08-10 17:00:07,IP Address,73.178.112.13,100,1272,True,2024-08-10 17:00:07,R_132ZBYL606Y4afy,,,,,39.3667,-75.0308,anonymous,EN,Yes,Yes,Yes,26,"White,American Indian and Alaska Native alone,Middle Eastern and North African",Not at this time,Female,,I understand and am ready to continue,I understand and am ready to continue,35193-2024-08-10-mVQX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32402-0620WalterDiary[CS],58411,.61,20,,1,,,1272,,,,,1,10035193,1,,,yes,,M4,55264,,,AmericanIndian/Other,18-30,
2024-08-10 16:57:16,2024-08-10 17:23:18,IP Address,12.10.198.130,100,1562,True,2024-08-10 17:23:18,R_1KuRgTAKfp3LGpp,,,,,39.9528,-75.1646,anonymous,EN,Yes,Yes,Yes,69,White,Germany,Male,,I understand and am ready to continue,I understand and am ready to continue,76939-2024-08-10-AsvV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32402-0620WalterDiary[CS],58411,.61,20,,1,,,1562,,,,,1,5476939,1,9,,yes,,M4,87230,,,White,+50,">50, Male, White"
2024-08-10 18:44:24,2024-08-10 19:16:17,IP Address,163.182.69.135,100,1912,True,2024-08-10 19:16:17,R_3AEL1wIlhZ1VcVH,,,,,39.2454,-84.2537,anonymous,EN,Yes,Yes,Yes,48,White,,Male,,I understand and am ready to continue,I understand and am ready to continue,25634-2024-08-10-Smnx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32402-0620WalterDiary[CS],58411,.61,20,,1,,,1912,,,,,1,5625634,1,5,,yes,,M4,46397,,,White,31-50,"31-50, Male, White"
2024-08-10 17:42:31,2024-08-10 19:16:46,IP Address,73.148.119.221,100,5655,True,2024-08-10 19:16:47,R_1aIGoMow4OKNlm4,,,,,38.4894,-78.8175,anonymous,EN,Yes,Yes,Yes,31,White,,Male,,I understand and am ready to continue,I understand and am ready to continue,10234-2024-08-10-IrJs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32402-0620WalterDiary[CS],58411,.61,20,,1,,,5655,,,,,1,6810234,1,5,,yes,,M4,22864,,,White,31-50,"31-50, Male, White"
2024-08-10 18:48:57,2024-08-10 19:29:43,IP Address,71.58.205.4,100,2445,True,2024-08-10 19:29:44,R_7xztlNEjUGg2qV3,,,,,39.9517,-76.7064,anonymous,EN,Yes,Yes,Yes,59,White,,Female,,I understand and am ready to continue,I understand and am ready to continue,91067-2024-08-10-SEsr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32402-0620WalterDiary[CS],58411,.61,20,,1,,,2445,,,,,1,3191067,1,10,,yes,,M4,36683,,,White,+50,">50, Female, White"
2024-08-10 20:06:05,2024-08-10 20:36:10,IP Address,72.78.209.105,100,1805,True,2024-08-10 20:36:11,R_1nFJnjf82VtcvOF,,,,,39.9792,-75.1279,anonymous,EN,Yes,Yes,Yes,29,Black or African American,N/a,Female,,I understand and am ready to continue,I understand and am ready to continue,50733-2024-08-10-iifd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32402-0620WalterDiary[CS],58411,.61,20,,1,,,1805,,,,,0.800000011920929,2750733,1,4,,yes,,M4,99213,,,Black,18-30,"18-30, Female, Black/African-American"
2024-08-10 21:21:59,2024-08-10 21:27:07,IP Address,24.245.67.76,100,308,True,2024-08-10 21:27:08,R_1Xom2nwMoyhnXi1,,,,,41.3135,-122.3295,anonymous,EN,Yes,Yes,Yes,73,White,White,Male,,I understand and am ready to continue,I understand and am ready to continue,24572-2024-08-10-Tvng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32402-0620WalterDiary[CS],58411,.61,20,,1,,,308,,,,,0.8999999761581421,3724572,1,9,,yes,,M4,39028,,,White,+50,">50, Male, White"
2024-08-10 22:51:31,2024-08-10 23:14:29,IP Address,76.34.148.129,100,1378,True,2024-08-10 23:14:29,R_5arxCIjSyTUDE0H,,,,,40.2645,-82.8504,anonymous,EN,Yes,Yes,Yes,51,White,German,Female,,I understand and am ready to continue,I understand and am ready to continue,35151-2024-08-10-oFHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32402-0620WalterDiary[CS],58411,.61,20,,1,,,1378,,,,,1,7935151,1,10,,yes,,M4,61666,,,White,+50,">50, Female, White"
