ID,dep,life,years_waiting,obesity,alco,work_hours,crim,reject_chance,tid
2750733,1,3,2,-1,-1,2,0,-3,2750733
3392798,1,2,0,0,-1,0,-1,-1,3392798
8673096,3,3,-1,0,0,0,0,2,8673096
0-3403162-138051,1,3,2,1,-1,1,-1,1,3403162
0-3279236-138051,2,3,2,0,-1,1,0,-3,3279236
0-5013312-138051,1,1,1,0,0,1,-1,-2,5013312
0-7883889-138051,0,1,1,0,0,0,0,-3,7883889
0-7016730-138051,2,3,0,0,1,0,1,0,7016730
0-6500899-138051,1,2,1,-1,-2,2,1,-3,6500899
0-7922195-138051,3,2,2,0,0,1,0,1,7922195
0-5118197-138051,1,3,0,1,-1,1,-1,3,5118197
0-3666540-138051,0,3,1,-1,-2,0,-1,-3,3666540
0-6101370-138051,2,2,1,-1,-2,-2,-3,0,6101370
0-5344952-138051,0,2,3,-2,0,1,0,-2,5344952
0-4656519-138051,2,2,0,-1,-2,0,0,-1,4656519
0-4279583-138051,2,3,3,0,2,1,2,2,4279583
0-5897270-138051,3,2,3,0,0,1,-1,2,5897270
0-10634317-138051,3,3,3,0,1,0,0,3,10634317
0-2397968-138051,2,2,3,-1,-3,-1,-1,-3,2397968
0-3884870-138051,1,2,3,0,0,0,-1,-1,3884870
0-10516071-138051,3,3,3,3,2,3,3,3,10516071
0-6737203-138051,-1,3,1,0,1,0,0,2,6737203
0-4075424-138051,0,0,3,0,1,0,1,0,4075424
0-3262523-138051,2,3,3,1,1,3,2,3,3262523
0-10320884-138051,2,3,1,0,0,1,1,3,10320884
0-9239646-138051,-1,3,2,0,-1,0,-2,-3,9239646
0-3659045-138051,0,1,1,0,0,0,0,2,3659045
0-8816044-138051,3,3,0,0,-1,-2,-1,-3,8816044
0-6712607-138051,1,3,3,0,0,0,-3,-1,6712607
0-7245996-138051,1,2,3,-1,-2,1,-3,2,7245996
0-10333501-138051,1,2,1,-1,-1,1,2,-1,10333501
0-3039213-138051,1,2,3,0,0,0,1,2,3039213
0-10509099-138051,2,2,2,0,-2,1,-2,-3,10509099
0-10619514-138051,3,3,3,2,1,3,2,1,10619514
0-10577430-138051,3,2,2,2,3,2,2,3,10577430
0-10611955-138051,-3,3,-3,-2,2,-1,-2,2,10611955
0-6035699-138051,2,1,3,1,1,0,-1,2,6035699
0-6008591-138051,1,1,3,1,-2,1,1,-2,6008591
0-10403590-138051,2,3,2,1,2,3,1,2,10403590
0-3563903-138051,0,3,0,0,-2,-3,-3,-3,3563903
0-10604772-138051,3,2,2,3,2,3,2,2,10604772
0-5048210-138051,3,2,1,2,1,2,2,2,5048210
0-10547971-138051,2,-1,-1,2,-2,2,1,2,10547971
0-9034287-138051,1,1,1,-2,1,-1,1,2,9034287
0-4607677-138051,2,3,0,0,0,1,0,2,4607677
0-9910047-138051,0,0,1,2,-1,1,3,1,9910047
0-3546052-138051,0,0,1,-1,1,-1,1,0,3546052
0-4912241-138051,2,1,0,0,0,1,2,-1,4912241
0-8610327-138051,1,3,2,-1,0,2,0,-2,8610327
0-10624520-138051,3,3,2,-2,0,1,-1,-2,10624520
0-10426801-138051,2,3,1,1,1,3,-1,1,10426801
0-3270164-138051,2,3,2,-1,0,0,0,-2,3270164
0-6439991-138051,2,2,0,0,-1,1,-3,-1,6439991
0-9014888-138051,1,2,2,2,1,2,2,-1,9014888
0-6411835-138051,0,0,0,0,0,0,0,0,6411835
0-10532033-138051,1,2,-1,1,-1,2,-1,1,10532033
0-3666109-138051,1,3,1,0,0,0,0,3,3666109
0-6516185-138051,2,3,2,2,-1,1,-3,2,6516185
0-10117968-138051,1,3,2,1,-1,1,-1,3,10117968
0-8373413-138051,1,2,3,0,0,0,-3,-1,8373413
0-2744410-138051,-3,2,1,1,1,3,3,3,2744410
0-3560087-138051,2,3,2,1,-1,2,1,-2,3560087
0-10622992-138051,3,3,2,2,2,2,3,3,10622992
0-5342663-138051,0,0,0,0,0,0,-3,0,5342663
0-5806546-138051,0,3,1,0,0,3,0,3,5806546
0-2332312-138051,3,3,0,0,0,0,0,3,2332312
0-10622439-138051,3,3,3,3,3,3,2,3,10622439
0-2418897-138051,1,3,0,-2,-1,2,0,-2,2418897
0-4864992-138051,3,3,1,0,2,3,-3,-2,4864992
0-10622437-138051,3,3,2,2,2,2,2,2,10622437
0-7202066-138051,1,3,1,0,0,0,-1,-2,7202066
0-10556504-138051,2,2,2,2,2,2,2,2,10556504
0-4918623-138051,1,2,2,0,0,0,0,-2,4918623
0-3054054-138051,0,1,3,0,-1,0,-1,-1,3054054
0-9502522-138051,3,2,2,0,-1,2,0,-2,9502522
0-6840402-138051,1,3,3,-2,-3,0,-2,-3,6840402
0-8001648-138051,2,2,1,2,-2,1,3,-2,8001648
0-10556494-138051,1,0,2,1,1,1,-1,1,10556494
0-10546337-138051,1,1,2,-1,2,2,-1,2,10546337
0-3172096-138051,1,2,3,0,-1,0,-1,-1,3172096
0-7301290-138051,0,3,3,0,-1,1,-2,-3,7301290
0-5481805-138051,2,3,1,-1,-2,1,-2,-3,5481805
0-2320653-138051,0,3,1,0,0,1,-1,-3,2320653
0-10572874-138051,1,0,3,0,0,0,-1,-2,10572874
0-4516950-138051,2,2,1,0,1,0,0,-2,4516950
0-9330751-138051,2,3,2,2,3,2,2,3,9330751
0-2720702-138051,2,3,1,-2,-1,2,-1,2,2720702
0-9137373-138051,1,2,2,2,2,2,-1,-2,9137373
0-5109645-138051,1,2,3,-2,-1,1,-3,-1,5109645
0-2977868-138051,1,1,2,-1,1,0,-2,-1,2977868
0-3018375-138051,3,2,3,0,-3,1,-3,2,3018375
0-9411570-138051,2,2,3,-1,-3,1,-2,-1,9411570
0-10378191-138051,1,3,3,-1,-1,-1,-2,0,10378191
0-6948737-138051,2,2,1,-1,-1,1,-3,-2,6948737
0-10172041-138051,0,1,1,0,2,0,0,1,10172041
0-8555258-138051,1,2,3,1,2,0,0,1,8555258
0-7225224-138051,3,2,2,-1,0,0,0,-3,7225224
0-7979395-138051,-1,1,1,2,0,1,-2,1,7979395
0-10532778-138051,2,2,0,0,-1,2,-1,2,10532778
0-10516708-138051,0,3,2,1,-1,2,-3,-2,10516708
0-4937728-138051,2,2,1,0,-2,1,-3,1,4937728
0-7166280-138051,3,2,0,0,0,0,0,-3,7166280
0-10575394-138051,2,2,1,2,2,2,2,3,10575394
0-8958247-138051,3,1,3,1,-1,1,-3,-2,8958247
0-7365057-138051,0,0,0,0,-3,0,0,3,7365057
0-8914118-138051,3,3,2,3,-2,-2,2,1,8914118
